data,xs
1.9706055968621053e-6,-1.4355
3.5405449098833973e-6,-1.4065
6.286464302885286e-6,-1.3775
1.1029309336173181e-5,-1.3485
1.9120342937294186e-5,-1.3195
3.2752807552340876e-5,-1.2905
5.54379146095677e-5,-1.2615
9.271942560415124e-5,-1.2325
0.0001532286852156235,-1.2035
0.0002502159053202032,-1.1745
0.00040373392623236834,-1.1455
0.000643696388105053,-1.1165
0.0010140804110624687,-1.0875
0.0015785894965195586,-1.0585
0.0024281276653641405,-1.0295
0.0036904499219033247,-1.0005
0.005542332788398695,-0.9715
0.008224534800043065,-0.9425
0.012059671373339857,-0.9135
0.01747289126825262,-0.8845
0.025014891282456216,-0.8555
0.035386310587852056,-0.8265
0.04946183377689113,-0.7975
0.06831119243728234,-0.7685
0.09321209029890946,-0.7395
0.1256453266041482,-0.7105
0.16725148352105185,-0.6815
0.2197049971126906,-0.6525
0.28442064323847893,-0.6235
0.3619802970435419,-0.5945
0.45131163344204017,-0.5655
0.5491752042960061,-0.5365
0.6508576626438836,-0.5075
0.7518619009832638,-0.4785
0.8491094513054515,-0.4495
0.940999217054461,-0.4205
1.0269031075107657,-0.3915
1.1066811677456385,-0.3625
1.1803815196353213,-0.3335
1.248090640076732,-0.3045
1.3098711016041944,-0.2755
1.3657430508728665,-0.2465
1.4156853694187272,-0.2175
1.459644599722102,-0.1885
1.4975460910546212,-0.1595
1.5293049203541957,-0.1305
1.554835585016494,-0.1015
1.5740601080352823,-0.0725
1.5869144672579534,-0.0435
1.593353362616402,-0.0145
1.5933533626164011,0.0145
1.5869144672579536,0.0435
1.5740601080352818,0.0725
1.5548355850164945,0.1015
1.529304920354196,0.1305
1.497546091054621,0.1595
1.4596445997221021,0.1885
1.4156853694187286,0.2175
1.3657430508728696,0.2465
1.3098711016041962,0.2755
1.2480906400767324,0.3045
1.180381519635322,0.3335
1.1066811677456407,0.3625
1.02690310751077,0.3915
0.9409992170544597,0.4205
0.8491094513054526,0.4495
0.7518619009832637,0.4785
0.6508576626438836,0.5075
0.5491752042960063,0.5365
0.4513116334420399,0.5655
0.36198029704354195,0.5945
0.2844206432384788,0.6235
0.2197049971126906,0.6525
0.1672514835210518,0.6815
0.1256453266041482,0.7105
0.09321209029890946,0.7395
0.06831119243728234,0.7685
0.04946183377689113,0.7975
0.035386310587852056,0.8265
0.025014891282456212,0.8555
0.01747289126825262,0.8845
0.012059671373339857,0.9135
0.008224534800043065,0.9425
0.005542332788398694,0.9715
0.0036904499219033247,1.0005
0.0024281276653641405,1.0295
0.0015785894965195584,1.0585
0.0010140804110624687,1.0875
0.000643696388105053,1.1165
0.00040373392623236834,1.1455
0.0002502159053202032,1.1745
0.00015322868521562352,1.2035
9.271942560415125e-5,1.2325
5.54379146095677e-5,1.2615
3.2752807552340876e-5,1.2905
1.912034293729419e-5,1.3195
1.1029309336173181e-5,1.3485
6.286464302885286e-6,1.3775
3.5405449098833973e-6,1.4065
1.9706055968621053e-6,1.4355
