0.0,0.1,0.31623,1.0,3.16228,10.0,31.6228,100.0
0.01,0.0048250573,0.044206962,0.3174754618,1.3321314176,-0.6807477003,0.656006375,0.6757283541
0.1,0.0046385111,0.0425572213,0.3082537452,1.3110700319,6.2962887484,1.5819263544,0.5427539292
0.17783,0.0042557563,0.0391647632,0.289032377,1.2659023397,0.1037331821,1.3671726203,-0.5255114487
0.31623,0.0032411898,0.0301165559,0.235788692,1.1313120251,0.3120763046,2.9260401345,0.9814665625
0.45,0.0021548344,0.0203127933,0.1737640823,0.9546569271,3.3902079665,1.6531495968,0.8143607492
0.5,0.00178342,0.0169239741,0.1508391973,0.8828826935,4.7219787401,3.3249572086,-0.2105524871
0.5623399999,0.0013699434,0.0131213596,0.1238287442,0.7927103011,-0.5273428427,-0.0776476117,2.135548714
0.75,0.0005137174,0.0050923288,0.0593989237,0.5404149295,2.0088322387,0.5185131666,0.484982805
1.0,8.99454e-05,0.0009471864,0.0160156341,0.2931971031,0.9503011742,1.724285206,1.8210977489
1.33352,4.053e-06,4.74502e-05,0.0015154441,0.1132547606,0.077356467,1.4386854517,2.2708837573
1.77828,1.63e-08,2.3e-07,2.08072e-05,0.0228891954,0.7548301835,0.2749795785,1.550997015
3.16228,0.0,0.0,0.0,4.943e-07,0.0398933225,0.5899356729,1.746683598
5.62341,0.0,0.0,0.0,0.0,6.7723e-05,0.0009506476,0.0080727072
10.0,0.0,0.0,0.0,0.0,0.0,55647913425.9946,1.17947e-05
17.78279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
